Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss: 164.4159 | w0: 1.0000 | r0: 0.1323 | st0: 0.9095 | sd0: 0.9958 | gamma0: 0.010269 | lr : 0.19005301 
Step: 0 | Loss:   4.0591 | w0: 1.0000 | r0: 0.2590 | st0: 0.8241 | sd0: 1.0012 | gamma0: 0.000000 | lr : 0.18962396 
Step: 1 | Loss: 132.0667 | w0: 1.0000 | r0: 0.1382 | st0: 0.9107 | sd0: 0.9947 | gamma0: 0.009916 | lr : 0.18962396 
Step: 0 | Loss:   3.1185 | w0: 1.0000 | r0: 0.2608 | st0: 0.8232 | sd0: 1.0007 | gamma0: 0.000000 | lr : 0.18918639 
Step: 1 | Loss: 134.5710 | w0: 1.0000 | r0: 0.1459 | st0: 0.9103 | sd0: 0.9942 | gamma0: 0.009487 | lr : 0.18918639 
Step: 0 | Loss:   3.0893 | w0: 1.0000 | r0: 0.2587 | st0: 0.8225 | sd0: 1.0001 | gamma0: 0.000000 | lr : 0.18874034 
Step: 1 | Loss: 130.7945 | w0: 1.0000 | r0: 0.1518 | st0: 0.9103 | sd0: 0.9948 | gamma0: 0.009004 | lr : 0.18874034 
Step: 0 | Loss:   1.7690 | w0: 1.0000 | r0: 0.2537 | st0: 0.8219 | sd0: 1.0000 | gamma0: 0.000000 | lr : 0.18828586 
Step: 1 | Loss: 112.3971 | w0: 1.0000 | r0: 0.1579 | st0: 0.9116 | sd0: 0.9959 | gamma0: 0.008491 | lr : 0.18828586 
Step: 0 | Loss:   2.1999 | w0: 1.0000 | r0: 0.2488 | st0: 0.8214 | sd0: 0.9997 | gamma0: 0.000000 | lr : 0.18782298 
Step: 1 | Loss: 129.4263 | w0: 1.0000 | r0: 0.1626 | st0: 0.9126 | sd0: 0.9975 | gamma0: 0.008049 | lr : 0.18782298 
Step: 0 | Loss:   1.9867 | w0: 1.0000 | r0: 0.2465 | st0: 0.8208 | sd0: 0.9999 | gamma0: 0.000000 | lr : 0.18735176 
Step: 1 | Loss: 101.9584 | w0: 1.0000 | r0: 0.1692 | st0: 0.9148 | sd0: 0.9993 | gamma0: 0.007563 | lr : 0.18735176 
Step: 0 | Loss:   1.7360 | w0: 1.0000 | r0: 0.2452 | st0: 0.8204 | sd0: 0.9998 | gamma0: 0.000000 | lr : 0.18687224 
Step: 1 | Loss: 133.1536 | w0: 1.0000 | r0: 0.1729 | st0: 0.9164 | sd0: 0.9998 | gamma0: 0.007079 | lr : 0.18687224 
Step: 0 | Loss:   1.5937 | w0: 1.0000 | r0: 0.2477 | st0: 0.8198 | sd0: 0.9999 | gamma0: 0.000000 | lr : 0.18638448 
Step: 1 | Loss: 141.1298 | w0: 1.0000 | r0: 0.1726 | st0: 0.9204 | sd0: 1.0003 | gamma0: 0.006574 | lr : 0.18638448 
Step: 0 | Loss:   1.9354 | w0: 1.0000 | r0: 0.2536 | st0: 0.8192 | sd0: 0.9998 | gamma0: 0.000000 | lr : 0.18588851 
Step: 1 | Loss: 112.1717 | w0: 1.0000 | r0: 0.1731 | st0: 0.9235 | sd0: 1.0006 | gamma0: 0.006083 | lr : 0.18588851 
Step: 0 | Loss:   2.1330 | w0: 1.0000 | r0: 0.2565 | st0: 0.8187 | sd0: 0.9993 | gamma0: 0.000000 | lr : 0.18538440 
Step: 1 | Loss: 116.4449 | w0: 1.0000 | r0: 0.1719 | st0: 0.9251 | sd0: 1.0005 | gamma0: 0.005656 | lr : 0.18538440 
Step: 0 | Loss:   2.0994 | w0: 1.0000 | r0: 0.2582 | st0: 0.8182 | sd0: 0.9989 | gamma0: 0.000000 | lr : 0.18487219 
Step: 1 | Loss: 145.9894 | w0: 1.0000 | r0: 0.1711 | st0: 0.9276 | sd0: 1.0000 | gamma0: 0.005254 | lr : 0.18487219 
Step: 0 | Loss:   2.2054 | w0: 1.0000 | r0: 0.2619 | st0: 0.8176 | sd0: 0.9987 | gamma0: 0.000000 | lr : 0.18435193 
Step: 1 | Loss:  97.9825 | w0: 1.0000 | r0: 0.1685 | st0: 0.9319 | sd0: 0.9994 | gamma0: 0.004878 | lr : 0.18435193 
Step: 0 | Loss:   2.0782 | w0: 1.0000 | r0: 0.2644 | st0: 0.8172 | sd0: 0.9986 | gamma0: 0.000000 | lr : 0.18382368 
Step: 1 | Loss:  78.3302 | w0: 1.0000 | r0: 0.1651 | st0: 0.9360 | sd0: 0.9990 | gamma0: 0.004494 | lr : 0.18382368 
Step: 0 | Loss:   3.0181 | w0: 1.0000 | r0: 0.2656 | st0: 0.8167 | sd0: 0.9985 | gamma0: 0.000000 | lr : 0.18328749 
Step: 1 | Loss: 113.7206 | w0: 1.0000 | r0: 0.1627 | st0: 0.9395 | sd0: 0.9985 | gamma0: 0.004154 | lr : 0.18328749 
Step: 0 | Loss:   5.8267 | w0: 1.0000 | r0: 0.2651 | st0: 0.8163 | sd0: 0.9983 | gamma0: 0.000000 | lr : 0.18274341 
Step: 1 | Loss: 106.7863 | w0: 1.0000 | r0: 0.1612 | st0: 0.9438 | sd0: 0.9981 | gamma0: 0.003829 | lr : 0.18274341 
Step: 0 | Loss:   3.2822 | w0: 1.0000 | r0: 0.2666 | st0: 0.8158 | sd0: 0.9978 | gamma0: 0.000000 | lr : 0.18219150 
Step: 1 | Loss: 103.8890 | w0: 1.0000 | r0: 0.1580 | st0: 0.9484 | sd0: 0.9973 | gamma0: 0.003508 | lr : 0.18219150 
Step: 0 | Loss:   2.9757 | w0: 1.0000 | r0: 0.2632 | st0: 0.8155 | sd0: 0.9981 | gamma0: 0.000000 | lr : 0.18163181 
Step: 1 | Loss: 120.8150 | w0: 1.0000 | r0: 0.1549 | st0: 0.9553 | sd0: 0.9964 | gamma0: 0.003180 | lr : 0.18163181 
Step: 0 | Loss:   2.5037 | w0: 1.0000 | r0: 0.2627 | st0: 0.8153 | sd0: 0.9989 | gamma0: 0.000000 | lr : 0.18106440 
Step: 1 | Loss: 127.0266 | w0: 1.0000 | r0: 0.1560 | st0: 0.9606 | sd0: 0.9958 | gamma0: 0.002869 | lr : 0.18106440 
tick 2     kimg 2.1       time 1m 14s       sec/tick 32.2    sec/kimg 31.48   maintenance 0.1    gpumem 4.63   reserved 4.94  
Step: 0 | Loss:   2.2196 | w0: 1.0000 | r0: 0.2677 | st0: 0.8149 | sd0: 0.9992 | gamma0: 0.000000 | lr : 0.18048933 
Step: 1 | Loss: 134.8799 | w0: 1.0000 | r0: 0.1568 | st0: 0.9660 | sd0: 0.9954 | gamma0: 0.002605 | lr : 0.18048933 
Step: 0 | Loss:   1.6650 | w0: 1.0000 | r0: 0.2720 | st0: 0.8145 | sd0: 0.9991 | gamma0: 0.000000 | lr : 0.17990666 
Step: 1 | Loss:  98.0601 | w0: 1.0000 | r0: 0.1570 | st0: 0.9710 | sd0: 0.9955 | gamma0: 0.002385 | lr : 0.17990666 
Step: 0 | Loss:   2.1042 | w0: 1.0000 | r0: 0.2707 | st0: 0.8143 | sd0: 0.9990 | gamma0: 0.000000 | lr : 0.17931644 
Step: 1 | Loss: 108.5878 | w0: 1.0000 | r0: 0.1585 | st0: 0.9745 | sd0: 0.9958 | gamma0: 0.002192 | lr : 0.17931644 
Step: 0 | Loss:   2.9993 | w0: 1.0000 | r0: 0.2625 | st0: 0.8142 | sd0: 0.9979 | gamma0: 0.000000 | lr : 0.17871873 
Step: 1 | Loss: 101.5467 | w0: 1.0000 | r0: 0.1597 | st0: 0.9755 | sd0: 0.9964 | gamma0: 0.002020 | lr : 0.17871873 
