Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   5.8107 | w0: 1.0000 | r0: 0.2428 | st0: 0.8226 | sd0: 0.9963 | gamma0: 0.000000 | gamma_off | lr : 0.18444863 
Step: 1 | Loss:   1.4441 | w0: 1.0000 | r0: 0.6095 | st0: 1.0273 | sd0: 1.0062 | gamma0: 0.000000 | gamma_off | lr : 0.18444863 
Step: 2 | Loss:  92.6078 | w0: 1.0000 | r0: 0.1390 | st0: 0.9094 | sd0: 0.9980 | gamma0: 0.000000 | gamma_off | lr : 0.18444863 
Step: 0 | Loss:   0.6098 | w0: 1.0000 | r0: 0.2332 | st0: 0.8218 | sd0: 1.0001 | gamma0: 0.000000 | gamma_off | lr : 0.18339056 
Step: 1 | Loss:   0.9183 | w0: 1.0000 | r0: 0.5849 | st0: 1.0381 | sd0: 1.0092 | gamma0: 0.000000 | gamma_off | lr : 0.18339056 
Step: 2 | Loss:  76.9410 | w0: 1.0000 | r0: 0.1245 | st0: 0.9184 | sd0: 1.0005 | gamma0: 0.000000 | gamma_off | lr : 0.18339056 
Step: 0 | Loss:   6.6571 | w0: 1.0000 | r0: 0.2208 | st0: 0.8214 | sd0: 1.0030 | gamma0: 0.000000 | gamma_off | lr : 0.18230109 
Step: 1 | Loss:   1.7785 | w0: 1.0000 | r0: 0.5547 | st0: 1.0467 | sd0: 1.0104 | gamma0: 0.000000 | gamma_off | lr : 0.18230109 
Step: 2 | Loss: 105.5271 | w0: 1.0000 | r0: 0.1277 | st0: 0.9181 | sd0: 1.0004 | gamma0: 0.000000 | gamma_off | lr : 0.18230109 
Step: 0 | Loss:   4.8005 | w0: 1.0000 | r0: 0.1964 | st0: 0.8217 | sd0: 1.0024 | gamma0: 0.000000 | gamma_off | lr : 0.18118068 
